Thinking Process:

1.  **Analyze the Request:**
    *   **Goal:** Create a self-contained bash script for per-sample variant calling on mitochondrial DNA (chrM) amplicon data.
    *   **Inputs:** `data/raw/` contains FASTQ files, `data/ref/` contains `chrM.fa`.
    *   **Outputs:** `results/{sample}.bam`, `.bai`, `{sample}.vcf.gz`, `.tbi`, and a collapsed table (`collapsed.tsv`).
    *   **Constraints:**
        *   First line: `#!/usr/bin/env bash`
        *   Second line: `set -euo pipefail`
        *   Idempotent (exit 0 if outputs exist).
        *   No hardcoded absolute paths.
        *   Use specific tools (`bwa`, `samtools`, `bcftools`, `tabix`, `lofreq`, etc.).
        *   Specific BWA command requirements: `-R` with literal `\t` (backslash-t), colons as separators, no real tabs in the string passed to bwa.
        *   Total time < 600s at THREADS=4.
        *   No `echo` for prose output.
        *   Output ONLY the script.

2.  **Determine Script Structure:**
    *   Shebang and strict mode.
    *   Define variables (THREADS, samples).
    *   Create results directory if missing.
    *   Reference indexing logic (check existence first).
    *   Per-sample processing loop or sequence of commands with dependency checks.
    *   Idempotency is key: If `results/{sample}.vcf.gz.tbi` exists, skip alignment/calling/indexing for that sample? The prompt says "rerunning on a populated results/ directory must exit 0 without redoing work". This implies checking if the final output (or intermediate) already exists and is valid.
    *   However, usually idempotency in these scripts means: If `results/{sample}.vcf.gz.tbi` exists AND its input BAM doesn't need re-alignment (which we can infer from file timestamps or just assuming it's done), skip the whole pipeline for that sample? Or strictly check if the *final* output of a step is newer than inputs.
    *   The prompt says: "guard each artifact with an existence check... Re-runs on a fully populated results/ must exit 0 without re-doing work". This suggests checking `results/{sample}.vcf.gz.tbi` before starting the pipeline for that sample, or at least ensuring we don't overwrite.
    *   Actually, usually "without redoing work" means if all outputs exist and are valid (e.g., newer than inputs), skip everything. But simpler is: If `results/{sample}.vcf.gz.tbi` exists, assume the job for that sample is done? No, because dependencies might change.
    *   Let's interpret "without redoing work" as: Check if all required outputs exist and are valid (e.g., newer than inputs). But since we can't easily check validity of BAM/VCF content without running tools, a common pattern for these scripts is checking the existence of the final output file. If `results/{sample}.vcf.gz.tbi` exists, skip processing that sample?
    *   Wait, if I run it again on an empty system vs populated system:
        1. Populate check: Does `results/` exist? Create if not.
        2. Ref index check: Do `.amb`, etc exist in data/ref/? If yes, skip indexing (but we need to ensure they are valid). Let's assume the prompt implies checking existence of intermediate files like BAM or VCF.tbi as a "done" marker for that sample step.
        3. The most robust idempotency check per task: Check if `results/{sample}.vcf.gz.tbi` exists. If yes, skip alignment/calling/indexing? But wait, the prompt says "guard each artifact with an existence check". This implies checking specific files before running their generation commands.
        4. Let's follow this logic for idempotency: Before processing sample X, check if `results/{sample}.vcf.gz.tbi` exists. If it does (and presumably is valid), we might skip the whole pipeline? Or just ensure we don't overwrite. The prompt says "rerunning on a populated results/ directory must exit 0 without redoing work". This strongly implies checking existence of final outputs to decide whether to run anything for that sample.
        *   However, if I check `results/{sample}.vcf.gz.tbi` and it exists, do I skip alignment? Yes, because the VCF is already generated from BAM which was aligned previously (assuming inputs haven't changed). Since we can't detect input changes easily without checksums, existence of final output + no new raw data assumption = safe to skip.
        *   Wait, there's a nuance: "guard each artifact with an existence check". This might mean before running `bwa mem`, check if BAM exists? Before calling VCF, check if VCF.tbi exists?
        *   Let's aim for the strictest interpretation of idempotency that satisfies "exit 0 without redoing work": If all outputs exist (BAM, BAI, VCF.gz, TBI), skip processing. But checking existence is enough to avoid running tools if we assume inputs haven't changed?
