sample,arm,dataset_id,assigned,multimapping,nofeatures,ambiguity,total,pct_assigned_all,pct_assigned_unique
SRR22376027,dense,f9cad7b01a4721356a6486d3a2637ae5,25270576,3012458,1743464,61931,30088429,83.99,93.33
SRR22376028,dense,f9cad7b01a472135169b70bee28ccccd,18286752,2233473,1255880,45565,21821670,83.80,93.36
SRR22376029,dense,f9cad7b01a472135347cd1f5daacf7f0,15721261,3672312,1013730,125164,20532467,76.57,93.25
SRR22376030,dense,f9cad7b01a4721352698ddf180c98f13,21231776,4629181,1513530,55964,27430451,77.40,93.12
SRR22376031,dense,f9cad7b01a4721358d772ac538245cb3,20130414,2132253,1317158,50920,23630745,85.19,93.64
SRR22376032,dense,f9cad7b01a47213509aacdd6c03fd081,22162227,2948169,1489929,55310,26655635,83.14,93.48
SRR22376027,moe,f9cad7b01a47213534237dbcdaa4db65,25270576,3012458,1743464,61931,30088429,83.99,93.33
SRR22376028,moe,f9cad7b01a472135b84643ef59fc6d68,18286752,2233473,1255880,45565,21821670,83.80,93.36
SRR22376029,moe,f9cad7b01a472135b7068bd14c1e9595,15721261,3672312,1013730,125164,20532467,76.57,93.25
SRR22376030,moe,f9cad7b01a47213554e57f3971b8d629,21231776,4629181,1513530,55964,27430451,77.40,93.12
SRR22376031,moe,f9cad7b01a472135ffa5c98d14376992,20130414,2132253,1317158,50920,23630745,85.19,93.64
SRR22376032,moe,f9cad7b01a472135e163a6b27e3c38dc,22162227,2948169,1489929,55310,26655635,83.14,93.48
